No.overall,No. inseries,Title,Incident,Original release date,Description
65,7,"""The Final Blow""",Air Inter Flight 148,5 April 2010 (2010-04-05),"On 20 January 1992, Air Inter Flight 148 flies into a mountain while circling to land at Strasbourg Airport, killing 87 people. An error made in programming the aircraft's autopilot, combined with a sudden wind change, caused it to descend more rapidly than expected.


Type of aircraft: Airbus A320-100"
66,8,"""Cracks in the System""",Chalk's Ocean Airways Flight 101,19 April 2010 (2010-04-19),"On 19 December 2005, just seconds after takeoff from Miami, Florida, the right wing of Chalk's Ocean Airways Flight 101 breaks off, causing the aircraft to crash into the sea, killing all 20 people on board. The cause of the crash was an improper repair of a fatigue crack in the wing.


Type of aircraft: Grumman G-73T Turbine Mallard"
67,1,"""Cockpit Failure""",Crossair Flight 3597,12 March 2011 (2011-03-12),"On 24 November 2001, Crossair Flight 3597 crashes into a hill during final approach to Zürich, killing 24 of the 33 passengers and crew members on board. The cause of the crash was the pilot descending the aircraft below the minimum safe altitude for the approach.[4]


Type of aircraft: British Aerospace 146"
68,2,"""The Heathrow Enigma""",British Airways Flight 38,7 March 2011 (2011-03-07),"On 17 January 2008, British Airways Flight 38 is on its final approach to land, but when the autothrottles command increased thrust from the engines, the engines fail to respond. The captain raises one notch of flaps to give the aircraft a few more feet of flying distance; it crash-lands just short of the runway without any fatalities. The fuel flow to both engines was restricted because of ice crystals causing a blockage in the fuel-oil heat exchangers.


Type of aircraft: Boeing 777-200ER"
69,3,"""Pilot Betrayed""",Scandinavian Airlines System Flight 751,28 March 2011 (2011-03-28),"On 27 December 1991, Scandinavian Airlines System Flight 751 crash-lands without loss of life in Gottröra moments after taking off due to both engines failing. Clear ice from the tops of the wings had been sucked into both engines, causing internal damage. An automatic system (of which the pilots were unaware) to increase the engines' thrust contributed to their failure.


Type of aircraft: McDonnell Douglas MD-81 (referred to in the episode as a McDonnell Douglas DC-9)"
70,4,"""Dead Tired""",Colgan Air Flight 3407,21 March 2011 (2011-03-21),"On 12 February 2009, Colgan Air Flight 3407 stalls at low altitude and dives into a residential area near Buffalo, New York. All 49 people on board the aircraft and one person on the ground are killed. Several critical errors made by the flight crew might have been the result of their fatigue.


Type of aircraft: Bombardier Q400"
71,5,"""Hudson River Runway""",US Airways Flight 1549,14 March 2011 (2011-03-14),"On 15 January 2009, US Airways Flight 1549 suffers a bird strike with a flock of Canada geese after taking off from LaGuardia Airport in New York City, causing both engines to fail. Less than two minutes later, the pilots successfully ditch the aircraft in the Hudson River. All on board survive.


Type of aircraft: Airbus A320-200"
72,6,"""Who's in Control?""",Turkish Airlines Flight 1951,28 February 2011 (2011-02-28),"On 25 February 2009, Turkish Airlines Flight 1951 stalls and crashes 1.5 kilometres from the runway while approaching Amsterdam Airport Schiphol. Nine people, including the three cockpit crew members, are killed. A faulty radar altimeter permitted premature reduction of the engines' thrust, and the flight crew failed to notice the resulting drop in airspeed until it was too late.


Type of aircraft: Boeing 737-800"
73,1,"""Deadly Reputation""",TAM Airlines Flight 3054,12 August 2011 (2011-08-12),"On 17 July 2007, TAM Airlines Flight 3054 careens off runway 35L at Brazil's Congonhas Airport and crashes at high speed into a warehouse adjacent to a filling station, killing all 187 people on board the aircraft and 12 people on the ground. Incorrect engine throttle settings upon landing caused one engine to reverse thrust while the other increased power, causing the aircraft to lose control.


Type of aircraft: Airbus A320-200"
74,2,"""The Plane That Flew Too High""",West Caribbean Airways Flight 708,19 August 2011 (2011-08-19),"On 16 August 2005, West Caribbean Airways Flight 708 deep-stalls while cruising and crashes in rural Venezuela during a thunderstorm, killing all 160 people on board. Investigators determined that the pilots misinterpreted the stall as an engine failure and took no recovery action until it was too late.


Type of aircraft: McDonnell Douglas MD-82"
75,3,"""Split Decision""",Arrow Air Flight 1285R,26 August 2011 (2011-08-26),"On 12 December 1985, Arrow Air Flight 1285R, carrying troops of the U.S. Army's 101st Airborne Division, stalls and crashes just seconds after taking off from Gander International Airport in Canada, killing all 256 people on board. The cause of the crash remains disputed: the Canadian Aviation Safety Board (CASB) concluded that ice on the wings, combined with miscalculated weight, was the cause, but a minority report claims an on-board explosion.


Type of aircraft: Douglas DC-8-63CF"
76,4,"""Breakup over Texas""",Continental Express Flight 2574,29 December 2011 (2011-12-29),"On 11 September 1991, Continental Express Flight 2574 tips into a dive and crashes into a field while nearing the end of a flight from Laredo, Texas, to Houston. All 14 people on board are killed. Improper maintenance allowed a section of the horizontal stabilizer to break loose during flight, after which the pilots had no control.


Type of aircraft: Embraer EMB 120 Brasilia"
77,5,"""Munich Air Disaster""",Munich air disaster,29 December 2011 (2011-12-29),"On 6 February 1958, British European Airways Flight 609, carrying members of the famed Manchester United soccer team, club officials and journalists, crashes into a house about 300 metres from the end of the runway in Munich after it fails to become airborne, killing 23 of the 44 people on board. The cause of the crash was slush on the runway, which slowed the aircraft down and prevented it from reaching takeoff speed.


Type of aircraft: Airspeed Ambassador"
78,6,"""Turning Point""",Northwest Airlines Flight 85,29 December 2011 (2011-12-29),"On 9 October 2002, the lower rudder segment of Northwest Airlines Flight 85 suddenly deflects to the left. The pilots divert the aircraft to a successful emergency landing at Anchorage, Alaska, by using engine thrust for control. The incident was attributed to a malfunction of the rudder's hydraulic control module.


Type of aircraft: Boeing 747-400"
79,7,"""Bad Attitude""",Korean Air Cargo Flight 8509,20 January 2012 (2012-01-20),"On 22 December 1999, Korean Air Cargo Flight 8509 crashes into a field at night about 55 seconds after taking off from London Stansted Airport on a flight to Milan, Italy, killing all four crew members on board. The causes of the crash were the captain following the indications of a malfunctioning attitude indicator and lack of communication amongst the crew members.


Type of aircraft: Boeing 747-200F"
80,8,"""Blind Spot""",Pacific Southwest Airlines Flight 182,27 January 2012 (2012-01-27),"On 25 September 1978, Pacific Southwest Airlines Flight 182 collides with a light aircraft while approaching San Diego International Airport and crashes in a residential area in California. All 137 people on the two aircraft and 7 people on the ground are killed. 


Type of aircraft: Flight 182: Boeing 727-200; light aircraft: Cessna 172"
81,9,"""Under Pressure""",Nigeria Airways Flight 2120,3 February 2012 (2012-02-03),"On 11 July 1991, Nigeria Airways Flight 2120 is taking off from King Abdulaziz International Airport with 247 Hajj pilgrims and 14 crew on board. Two under-inflated tires burst during the takeoff, starting a fire on the landing gear. The crew is unaware of the fire and retracts the gear after takeoff, causing the fire to spread. Encountering problems, the crew tries to return the aircraft to the airport, but it breaks up and crashes about 3 kilometres from the runway, with no survivors. 


Type of aircraft: Douglas DC-8-61"
82,10,"""I'm the Problem""",Pacific Southwest Airlines Flight 1771,10 February 2012 (2012-02-10),"On 7 December 1987, Pacific Southwest Airlines Flight 1771 crashes at the speed of sound on a mountainside in rural San Luis Obispo County, California. All 43 people on board are killed. Investigators found that passenger David Burke, a former USAir employee, took a gun on board the aircraft and shot the pilots in a murder-suicide plot to kill his former supervisor (who was also a passenger on board) after being fired from his job days earlier. 


Type of aircraft: British Aerospace 146"
83,11,"""Nowhere to Land""",TACA Flight 110,9 March 2012 (2012-03-09),"On 24 May 1988, TACA Flight 110 flies through a thunderstorm and both engines flame out. The captain manages to make a deadstick landing on a narrow grass levee in the Michoud area of eastern New Orleans, saving the lives of everyone on board.


Type of aircraft: Boeing 737-300"
84,12,"""The Invisible Plane""",2001 Linate Airport runway collision,23 March 2012 (2012-03-23),"On 8 October 2001, Scandinavian Airlines System Flight 686 is taking off at Milan's Linate Airport in thick fog. On the runway, it collides with an Air Evex business jet bound for Paris, France. Flight 686 suffers major damage and crashes into a nearby building shortly afterwards. All 114 people on board the two aircraft are killed, along with 4 on the ground. The business jet's crew had made a wrong turn while taxiing in the fog and inadvertently taxied onto the runway.


Type of aircraft: Flight 686: McDonnell Douglas MD-87 (referred to in the episode as a Boeing MD-87); business jet: Cessna Citation CJ2"
85,13,"""Impossible Landing""",United Airlines Flight 232,13 April 2012 (2012-04-13),"On 19 July 1989, the tail-mounted number-two engine of United Airlines Flight 232 explodes, damaging all of the aircraft's hydraulic systems and leaving the flight controls unusable. By varying engine thrust, the pilots manage to crash-land the aircraft at the Sioux Gateway Airport in Iowa, saving the lives of 184 of the 296 people onboard. Subsequent investigation traced the engine failure to a fatigue crack in the fan hub stemming from a defect introduced before the disk was even made (when the original titanium ingot used to make it was formed).


Type of aircraft: McDonnell Douglas DC-10-10"
86,1,"""Fight for Control""",Reeve Aleutian Airways Flight 8,3 August 2012 (2012-08-03),"On 8 June 1983, Reeve Aleutian Airways Flight 8's number-four propeller separates, tearing a gash on the aircraft's underside, jamming the flight controls and causing a rapid decompression. The pilots manage to land the aircraft safely at Anchorage, Alaska. The propeller fell into the sea, and since it was never recovered, the cause of the accident has not been determined.


Type of aircraft: Lockheed L-188 Electra"
87,2,"""Fire in the Hold""",ValuJet Flight 592,10 August 2012 (2012-08-10),"On 11 May 1996, 10 minutes after takeoff, ValuJet Airlines Flight 592 starts filling with smoke after a fire breaks out in the main cargo bay as it is flying over Miami. The aircraft crashes into the Florida Everglades, killing all 110 people on board. The cause of the fire was later determined to be an accidental triggering of a chemical oxygen generator illegally shipped as non-hazardous cargo.


Type of aircraft: McDonnell Douglas DC-9-32"
88,3,"""Caution to the Wind""",Singapore Airlines Flight 006,17 August 2012 (2012-08-17),"On 31 October 2000, Singapore Airlines Flight 006 collides with construction equipment at Chiang Kai Shek airport in Taipei while attempting to take off on the wrong runway in a typhoon, killing 83 of the 179 people on board. Investigators concluded that the crash was caused by pilot error.


Type of aircraft: Boeing 747-400"
89,4,"""Pushed to the Limit""",SilkAir Flight 185,24 August 2012 (2012-08-24),"On 19 December 1997, while en route to Singapore, SilkAir Flight 185 crashes into the Musi River in Indonesia after abruptly diving from its cruise altitude, killing all 104 passengers and crew members on board. The cause of the crash was disputed: a U.S. investigation concluded that it was an act of murder–suicide by the captain; however, the Indonesian investigators were undetermined.


Type of aircraft: Boeing 737-300"
90,5,"""Blind Landing""",TANS Perú Flight 204,31 August 2012 (2012-08-31),"On 23 August 2005, TANS Perú Flight 204 crashes into a muddy swamp while attempting to land at Pucallpa Airport, Peru, in a thunderstorm, killing 40 of the 98 people on board. The cause of the crash was the pilots not following visual flight rules while the aircraft was being pushed by a downdraft.


Type of aircraft: Boeing 737-200 Advanced"
91,6,"""Grand Canyon Disaster""",1956 Grand Canyon mid-air collision,24 January 2013 (2013-01-24),"On 30 June 1956, United Airlines Flight 718 and Trans World Airlines Flight 2 collide in mid-air over the Grand Canyon in Arizona, killing all 128 people on both aircraft. At the time, it was the deadliest-ever aviation accident, and would lead to major changes in the regulation of flight operations over the United States.
Note: This accident was previously featured as a special in the episode ""System Breakdown"" (S08E01). And Stephen Bogaert, the narrator for the Canadian version, also played Captain Gandy. 


Type of aircraft: Flight 718: Douglas DC-7; Flight 2: Lockheed L-1049 Super Constellation"
92,7,"""Catastrophe at O'Hare""",American Airlines Flight 191,25 February 2013 (2013-02-25),"On 25 May 1979, the number-one engine on American Airlines Flight 191 detaches moments after taking off from Chicago O'Hare International Airport. The aircraft banks to the left and crashes into an open field, killing all 271 people on board and 2 people on the ground. One of the mounting points in the pylon attaching the engine to the wing had suffered damage caused by faulty maintenance procedures. 


Type of aircraft: McDonnell Douglas DC-10-10"
93,8,"""Focused on Failure""",United Airlines Flight 173,11 March 2013 (2013-03-11),"On 28 December 1978, the crew of United Airlines Flight 173 are preoccupied with a landing gear problem as the aircraft circles in a holding pattern in the vicinity of Portland, Oregon. It runs out of fuel and crashes in a sparsely populated area, killing 10 of the 189 people on board. The pilot failed to acknowledge the warnings of the remaining crew regarding the aircraft's fuel state, while the remaining crew failed to adequately communicate the situation. 


Type of aircraft: Douglas DC-8-61"
94,9,"""Lokomotiv Hockey Team Disaster""",Lokomotiv Yaroslavl plane crash,4 March 2013 (2013-03-04),"On 7 September 2011, YAK-Service Flight 9633, carrying the Lokomotiv Yaroslavl professional ice hockey team, crashes shortly after takeoff at Yaroslavl, Russia, killing all but one of the 45 occupants. The investigation found that the pilots were not properly trained on the aircraft type and mishandled it during takeoff.


Type of aircraft: Yakovlev Yak-42D"
95,10,"""Death of the President""",Smolensk air disaster,27 January 2013 (2013-01-27),"On 10 April 2010, Polish Air Force Flight 101, carrying the President of Poland Lech Kaczyński, his wife Maria Kaczyńska and other top officials, crashes in a wooded area while on final approach to Smolensk North Airport in heavy fog and low visibility. All 96 passengers and crew members on board are killed. 


Type of aircraft: Tupolev Tu-154M"
96,11,"""Heading to Disaster""",Ethiopian Airlines Flight 409,25 March 2013 (2013-03-25),"On 25 January 2010, shortly after takeoff from Beirut–Rafic Hariri International Airport during a thunderstorm, Ethiopian Airlines Flight 409 plunges into the Mediterranean Sea while on a flight to Addis Ababa, killing all 90 people on board.


Type of aircraft: Boeing 737-800"
97,12,"""28 Seconds to Survive""",Santa Bárbara Airlines Flight 518,1 April 2013 (2013-04-01),"On 21 February 2008, Santa Bárbara Airlines Flight 518 strays off course and flies into the side of a mountain shortly after takeoff, killing all 46 people on board. Investigators determined that the aircraft took off with inoperative navigation equipment due to the pilots' failure to do their pre-flight checklist.


Type of aircraft: ATR 42-300"
98,13,"""Air France 447: Vanished""",Air France Flight 447,15 April 2013 (2013-04-15),"On 1 June 2009, Air France Flight 447 stalls and crashes into the Atlantic Ocean while flying through a thunderstorm, killing all 228 people on board. The causes of the crash were incorrect airspeed readings due to ice blocking the aircraft's pitot tubes and inappropriate control inputs by the crew.


Type of aircraft: Airbus A330-200"
99,1,"""Fight to the Death""",British European Airways Flight 548,16 December 2013 (2013-12-16),"On 18 June 1972, British European Airways Flight 548 stalls and crashes in a field near Staines shortly after takeoff from London Heathrow Airport, killing all 118 people on board. The crash was attributed to the pilot retracting the aircraft's droops at too low an airspeed and failing to recognize the stall warnings.


Type of aircraft: Hawker Siddeley Trident 1C"
100[5],2,"""Speed Trap""",Hughes Airwest Flight 706,30 December 2013 (2013-12-30),"On 6 June 1971, Hughes Airwest Flight 706 collides with a United States Marine Corps (USMC) fighter jet above the San Gabriel Mountains. A total of 50 people from the two aircraft are killed, with the backseat crewman of the USMC aircraft the only survivor.


Type of aircraft: Flight 706: McDonnell Douglas DC-9-31; USMC jet: McDonnell Douglas F-4 Phantom II"
101,3,"""Lost in Translation""",Crossair Flight 498,13 January 2014 (2014-01-13),"On 10 January 2000, Crossair Flight 498 crashes just two minutes after takeoff from Zürich, Switzerland, while heading for Dresden, Germany, killing all 10 people on board. The investigation found that the pilots had suffered spatial disorientation.


Type of aircraft: Saab 340B"
102,4,"""Disaster on the Potomac""",Air Florida Flight 90,23 December 2013 (2013-12-23),"On 13 January 1982, Air Florida Flight 90 stalls at 300 feet altitude, strikes a road bridge and crashes into the Potomac River, killing 78 people. The causes were ice on the wings and the pilots' failure to turn on the engines' anti-freeze system, causing erroneous engine instrument readings.


Type of aircraft: Boeing 737-200"
103,5,"""Queens Catastrophe""",American Airlines Flight 587,6 January 2014 (2014-01-06),"On 12 November 2001, just two months after the September 11 attacks, American Airlines Flight 587 spirals out of control shortly after taking off from John F. Kennedy Airport and crashes into Queens, killing all 260 people on board and five people on the ground. It was later determined that aggressive rudder use by the first officer in response to wake turbulence from a Boeing 747-400 that had taken off minutes earlier had caused the vertical stabilizer to detach from the aircraft.


Type of aircraft: Airbus A300-600"
104,6,"""Into the Eye of the Storm""",1989 Hurricane Hunters NOAA 42 incident,10 February 2014 (2014-02-10),"On 15 September 1989, a National Oceanic and Atmospheric Administration aircraft tasked with intercepting Hurricane Hugo over the Caribbean islands is jolted by strong winds, causing an engine to catch fire and fail. The pilots of the aircraft manage to make a safe emergency landing.


Type of aircraft: Lockheed WP-3D Orion"
105,7,"""Massacre over the Mediterranean""",Itavia Flight 870,20 January 2014 (2014-01-20),"On 27 June 1980, Itavia Flight 870 crashes into the Tyrrhenian Sea near the island of Ustica, Italy. All 81 people on board are killed. The top Italian criminal court eventually ruled on 23 January 2013 that a missile strike brought down the aircraft,[6] but controversy remains; some experts dispute this conclusion, arguing that an on-board bomb in the rear toilet was the cause. No definitive accident report was published.


Type of aircraft: McDonnell Douglas DC-9-15"
106,8,"""Imperfect Pitch""",XL Airways Germany Flight 888T,3 February 2014 (2014-02-03),"On 27 November 2008, an aircraft on a post-maintenance test flight operating as XL Airways Germany Flight 888T stalls and crashes into the Mediterranean Sea off the coast of France, killing all seven people on board. Improper maintenance work allowed water to enter the aircraft's angle of attack (AOA) sensors; the water then froze during flight, and the sensors stopped working. When the crew tried to test the stall warning system during flight, the aircraft stalled.


Type of aircraft: Airbus A320-200"
107,9,"""Terror in Paradise""",Air Moorea Flight 1121,27 January 2014 (2014-01-27),"On 9 August 2007, Air Moorea Flight 1121 crashes shortly after taking off from Moorea Airport in French Polynesia, killing all 19 passengers and the pilot. A badly worn elevator control cable had failed completely in flight. As the force on the elevators changes with flap retraction, the cable broke after being overloaded. The situation was aggravated by the aircraft being repeatedly buffeted by jet blast from larger aircraft while parked, stressing the cables further.


Type of aircraft: de Havilland Canada DHC-6 Twin Otter"
108,10,"""Titanic in the Sky""",Qantas Flight 32,17 February 2014 (2014-02-17),"On 4 November 2010, shortly after takeoff from Singapore, the number-two engine on Qantas Flight 32 partially disintegrates, causing serious damage to its left wing. The crew members overcome a number of resulting failures and make a safe emergency landing back at Singapore with no injuries among the 469 passengers and crew members. Investigators traced the engine failure to a manufacturing fault in an oil pipe.
Note: This is the 100th aircraft case investigated on Mayday.


Type of aircraft: Airbus A380-800"
109,11,"""Getting out Alive""",Asiana Airlines Flight 214 Air France Flight 358 Reeve Aleutian Airways Flight 8 Air Canada Flight 797 US Airways Flight 1549,9 May 2014 (2014-05-09),"This special looked at how people survive aviation accidents, in part with demonstrations at the Czech Airlines Training Centre.


Types of aircraft: Flight 214: Boeing 777-200ER; Flight 358: Airbus A340-300; Flight 8: Lockheed L-188 Electra; Flight 797: McDonnell Douglas DC-9-32; Flight 1549: Airbus A320-200"
110,1,"""Choosing Sides""",Kegworth air disaster,5 January 2015 (2015-01-05),"On 8 January 1989, British Midland Airways Flight 092 crashes onto the embankment of the M1 motorway near Kegworth, Leicestershire, UK. The aircraft was attempting to conduct an emergency landing at East Midlands Airport after one of its engines had failed. 47 of the 126 people on board died.


Type of aircraft: Boeing 737-400"
111,2,"""Niki Lauda: Testing the Limits""",Lauda Air Flight 004,12 January 2015 (2015-01-12),"On 26 May 1991, the thrust reverser on the number one engine of Lauda Air Flight 004 deploys in flight without being commanded, causing the aircraft to spiral out of control, disintegrate, and crash about 100 miles northwest of Bangkok, with no survivors. Investigators later determined the cause of the false deployment to be a malfunction of an electronically-controlled hydraulic valve. 


Type of aircraft: Boeing 767-300ER"
112,3,"""Vanishing Act""",Varig Flight 254,10 February 2015 (2015-02-10),"On 3 September 1989, the pilots of Varig Flight 254 enter an incorrect compass heading into their instruments before takeoff. Flying on autopilot once airborne, the aircraft heads west instead of north-northeast towards its destination. After some time, it is over a remote area of the Amazon jungle. The aircraft eventually runs out of fuel, and the pilot makes a belly landing in the jungle, during which the aircraft breaks up, killing 12 people.


Type of aircraft: Boeing 737-200"
113,4,"""Sideswiped""",Copa Airlines Flight 201,2 March 2015 (2015-03-02),"On 6 June 1992, Copa Airlines Flight 201 enters a high-speed dive, breaks up in mid-air, and crashes into the Darién Gap 29 minutes after taking off from Tocumen International Airport, killing all 47 people on board. The incident was caused by faulty instrument readings, confusion among the pilots, and insufficient training.


Type of aircraft: Boeing 737-200 Advanced"
114,5,"""The Final Push""",FedEx Express Flight 14 and FedEx Express Flight 80,16 February 2015 (2015-02-16),"On 31 July 1997, FedEx Express Flight 14 bounces, rolls to the right and crashes on landing at Newark Liberty International Airport. All five of the people on board survive. On 23 March 2009, FedEx Express Flight 80 also bounces and crashes on landing at Narita International Airport, Japan, in similar circumstances to that of Flight 14, killing both of the pilots.
Note: This episode mainly focuses on Fedex Express Flight 80, the second crash. 


Type of aircraft: Flight 14: McDonnell Douglas MD-11F (referred to in the episode as a Boeing MD-11); Flight 80: McDonnell Douglas MD-11 (freighter conversion)"
115,6,"""The Death of JFK Jr.""",1999 Martha's Vineyard plane crash,20 January 2015 (2015-01-20),"On 16 July 1999, John F. Kennedy Jr. dies when the Piper Saratoga light aircraft he is piloting crashes off the coast of Martha's Vineyard, Massachusetts, in hazy conditions. His wife, Carolyn Bessette-Kennedy, and sister-in-law, Lauren Bessette, are on board and are also killed. The NTSB concluded that the crash was caused by spatial disorientation resulting in pilot error.


Type of aircraft: Piper PA-32R-301 Saratoga II"
116,7,"""Concorde - Up in Flames""",Air France Flight 4590,13 January 2015 (2015-01-13),"On 25 July 2000, a Concorde operating as Air France Flight 4590 stalls and crashes into a hotel in Gonesse shortly after takeoff from Charles de Gaulle Airport, killing all of the 109 people on board and 4 on the ground. The aircraft had struck foreign debris left on the runway from a Continental Airlines DC-10, rupturing and igniting one of its fuel tanks and causing the left engines to fail.


Type of aircraft: Aérospatiale/BAC Concorde"
117,8,"""Accident or Assassination""",2008 Mexico City Learjet crash,17 February 2015 (2015-02-17),"On 4 November 2008, an official Mexican Interior Ministry Learjet 45 crashes in rush-hour traffic in central Mexico City. All nine occupants, including Mexican Secretary of the Interior Juan Camilo Mouriño, are killed in the crash, along with seven people on the ground. The aircraft crashed due to a loss of control from wake turbulence from a Mexicana Boeing 767-300ER and pilot error from fraudulently certified flight crew.


Type of aircraft: Learjet 45"
118,9,"""No Clear Options""",Manx2 Flight 7100,9 February 2015 (2015-02-09),"On 10 February 2011, Manx2 Flight 7100 crashes at Cork Airport in Ireland after the pilots lose control of the aircraft in an attempted go-around in heavy fog and low visibility. Six of the twelve people on board the aircraft are killed in the accident. 
Note: The investigative team of this incident declined to co-operate with the program out of respect for the survivors and victims' families.[7]


Type of aircraft: Fairchild SA227-BC Metro III"
119,10,"""Death in the Arctic""",First Air Flight 6560,24 February 2015 (2015-02-24),"On 20 August 2011, First Air Flight 6560, a charter flight, crashes near its destination of Resolute Bay Airport, Resolute, Nunavut, Canada, in poor weather conditions. Out of the fifteen passengers and crew members, only three survived.


Type of aircraft: Boeing 737-200C"
120,11,"""What Happened to Malaysian 370?""",Malaysia Airlines Flight 370,15 February 2015 (2015-02-15),"On 8 March 2014, Malaysia Airlines Flight 370 disappears en route from Kuala Lumpur to Beijing with 239 passengers and crew on board. As of February 2015[update], no trace of the aircraft had been found, and speculation is that it crashed in the southern part of the Indian Ocean.
Note: This is the first time the series broadcast an episode about an accident not yet fully investigated.


Type of aircraft: Boeing 777-200ER"
121,1,"""Fatal Transmission""",United Express Flight 5925,6 January 2016 (2016-01-06),"On 19 November 1996, United Express Flight 5925, operating for Great Lakes Airlines, lands at Quincy Regional Airport and collides with a light aircraft taking off from an intersecting runway. All 12 occupants on the Beechcraft 1900C died in a subsequent fire along with both pilots of the Beechcraft King Air.


Type of aircraft: Flight 5925: Beechcraft 1900C; light aircraft: Beechcraft 65-A90 King Air"
122,2,"""Terror in San Francisco""",Asiana Airlines Flight 214,13 January 2016 (2016-01-13),"On 6 July 2013, while landing at San Francisco International Airport, Asiana Airlines Flight 214 strikes a seawall and crashes short of the runway. Of the 307 people on board, 2 passengers die at the crash scene; another dies shortly after in hospital.
Note: This accident was previously featured as a special in the episode ""Getting out Alive"" (S13E11).


Type of aircraft: Boeing 777-200ER"
123,3,"""High Rise Catastrophe""",El Al Flight 1862,1 February 2016 (2016-02-01),"On 4 October 1992, the two engines on El Al Flight 1862's right wing detach from the aircraft after it departs from Amsterdam Airport Schiphol, damaging the right wing's hydraulic systems and a large portion of its leading edge. On approach, the flaps and slats on the left wing deploy while those on the right wing do not, due to the damage sustained. The aircraft rolls to the right and crashes into an apartment complex, killing all 4 on board and 39 on the ground. 


Type of aircraft: Boeing 747-200F"
124,4,"""Fatal Delivery""",UPS Airlines Flight 6,11 January 2016 (2016-01-11),"On 3 September 2010, the pilots of UPS Airlines Flight 6 report a fire and declare an emergency shortly after taking off from Dubai International Airport. The crew tries to land back at the airport, but are unsuccessful. The aircraft flies over the airport and crashes into an unpopulated area nearby, killing both of the pilots. The fire was caused by the combustion of lithium-ion batteries.


Type of aircraft: Boeing 747-400F"
125,5,"""Deadly Mission""",1961 Ndola Transair Sweden DC-6 crash,3 February 2016 (2016-02-03),"On 18 September 1961, a Douglas DC-6 operated by Transair Sweden, carrying Dag Hammarskjöld, the second Secretary-General of the United Nations, crashes en route to ceasefire negotiations in Northern Rhodesia during the Congo Crisis. All of the 16 passengers and crew members are killed.


Type of aircraft: Douglas DC-6B"
126,6,"""Edge of Disaster""",Atlantic Airways Flight 670,10 February 2016 (2016-02-10),"On 10 October 2006, Atlantic Airways Flight 670 lands at Stord Airport, but overruns the runway and crashes after careening off a steep embankment. Four of the sixteen people on board are killed. The causes of the crash were a malfunction of the aircraft's spoilers and hydroplaning.


Type of aircraft: British Aerospace 146-200A"
127,7,"""Deadly Delay""",Spanair Flight 5022,17 February 2016 (2016-02-17),"On 20 August 2008, Spanair Flight 5022 stalls, banks to the right and crashes during its second takeoff attempt, killing 154 of the 172 people on board. The investigation determined that when the pilots retracted the flaps and slats during the delay, they forgot to re-extend them afterwards. It was also determined that the takeoff warning did not sound due to a possible failure of a relay.


Type of aircraft: McDonnell Douglas MD-82"
128,8,"""Fatal Focus""",Garuda Indonesia Flight 200,4 January 2016 (2016-01-04),"On 7 March 2007, while landing at Yogyakarta at the end of a routine domestic flight from Jakarta, Garuda Indonesia Flight 200 hits the ground so hard that it bounces violently before running off the end of the runway, killing 21 of the 140 people on board. The aircraft was meant to land with the flaps extended to an angle of 40°, but it landed with flap extension of only 5°, which was aggravated by the Captain's insistence on landing the aircraft, even when it was travelling too fast.


Type of aircraft: Boeing 737-400"
129,9,"""Steep Impact""",Atlantic Southeast Airlines Flight 2311,25 January 2016 (2016-01-25),"On 5 April 1991, Atlantic Southeast Airlines Flight 2311 nose-dives into the ground while on landing approach to Glynco Jetport in Brunswick, Georgia, killing all 23 people on board, including U.S. Senator John Tower and astronaut Sonny Carter. The accident was caused by a malfunction of the left engine's propeller control unit which led to incorrect pitch angles on the left propeller's blades. 


Type of aircraft: Embraer EMB 120 Brasilia"
130,10,"""Carnage in São Paulo""",TAM Transportes Aéreos Regionais Flight 402,15 February 2016 (2016-02-15),"On 31 October 1996, TAM Transportes Aéreos Regionais Flight 402 crashes into a heavily populated residential area seconds after takeoff from São Paulo–Congonhas Airport, killing all 95 people on board and 4 on the ground. The crash was attributed to the uncommanded deployment of a faulty thrust reverser on the right engine, which was aggravated by the co-pilot's forceful inputs on the right engine's throttle.


Type of aircraft: Fokker 100"
131,1,"""Deadly Silence""",1999 South Dakota Learjet crash,7 June 2016 (2016-06-07),"On 25 October 1999, a chartered Learjet 35 operated by Sunjet Aviation, carrying golfer Payne Stewart and his agents, flies off course shortly after takeoff. It runs out of fuel and crashes into a field in South Dakota, killing all 6 occupants on board. The investigation concluded that everyone on board suffered hypoxia due to an uncontrolled decompression, but the cause remains undetermined.


Type of aircraft: Learjet 35"
132,2,"""9/11: The Pentagon Attack""",American Airlines Flight 77,14 June 2016 (2016-06-14),"On 11 September 2001, during the September 11 attacks, American Airlines Flight 77 flies off course and crashes into the Pentagon in Arlington County, Virginia, after being hijacked. All the 64 people on board the aircraft, including the 5 hijackers, are killed, along with 125 people in the building.


Type of aircraft: Boeing 757-200"
133,3,"""Disaster at Tenerife""",Tenerife airport disaster,21 June 2016 (2016-06-21),"On 27 March 1977, the deadliest-ever aviation accident occurs at Los Rodeos Airport (now known as Tenerife North Airport) in the Canary Islands. KLM Flight 4805 and Pan Am Flight 1736 collide on the runway in thick fog during the KLM aircraft's attempt to take off, killing 583 people.
Note: This accident was previously shown on the 2005 ""Crash of the Century"" special.[8] Although the program is not regarded as a Mayday episode, Cineflix used the footage on a few episodes of Mayday.[citation needed]


Type of aircraft: Flight 4805: Boeing 747-200B; Flight 1736: Boeing 747-100"
